n,m,p,w,optimal_solution,calc_time,gap,cuts,objective_value
10,5,0.6,10,integer infeasible,0.01600000006146729,,,
10,5,0.6,10,integer infeasible,0.015999999945051968,,,
10,5,0.6,10,integer infeasible,0.015999999945051968,,,
10,5,0.6,5,integer infeasible,0.01600000006146729,,,
10,5,0.6,5,integer infeasible,0.01600000006146729,,,
10,5,0.6,5,integer infeasible,0.015999999945051968,,,
10,5,0.6,5,integer infeasible,0.015999999945051968,,,
10,5,0.6,5,integer infeasible,0.01600000006146729,,,
10,5,0.6,5,integer infeasible,0.015999999945051968,,,
10,5,0.6,5,integer infeasible,0.01600000006146729,,,
10,5,0.6,5,integer infeasible,0.015000000013969839,,,
10,5,0.6,5,integer infeasible,0.015999999945051968,,,
10,5,0.6,5,integer infeasible,0.015000000013969839,,,
10,5,0.8,1,integer optimal solution,0.0470000000204891,0.0,0,2.0
10,5,0.8,1,integer optimal solution,0.03200000000651926,0.0,0,2.0
10,5,0.8,1,integer optimal solution,0.03100000007543713,0.0,0,4.0
10,5,0.8,1,integer optimal solution,0.0,0.0,0,0.0
10,5,0.8,1,integer optimal solution,0.0470000000204891,0.0,0,2.0
10,5,0.8,1,integer optimal solution,0.030999999959021807,0.0,0,1.0
10,5,0.8,1,integer optimal solution,0.030999999959021807,0.0,0,1.0
10,5,0.8,1,integer optimal solution,0.015999999945051968,0.0,0,2.0
10,5,0.8,1,integer optimal solution,0.030999999959021807,0.0,0,2.0
10,5,0.8,1,integer optimal solution,0.030999999959021807,0.0,0,2.0
10,5,0.8,10,integer infeasible,0.015000000013969839,,,
10,5,0.8,10,integer infeasible,0.015999999945051968,,,
10,5,0.8,10,integer infeasible,0.015999999945051968,,,
10,5,0.8,10,integer infeasible,0.0,,,
10,5,0.8,10,integer infeasible,0.015999999945051968,,,
10,5,0.8,10,integer infeasible,0.01600000006146729,,,
10,5,0.8,10,integer infeasible,0.015999999945051968,,,
10,5,0.8,10,integer infeasible,0.01600000006146729,,,
10,5,0.8,10,integer infeasible,0.0,,,
10,5,0.8,10,integer infeasible,0.015000000013969839,,,
10,5,0.8,5,integer infeasible,0.015999999945051968,,,
10,5,0.8,5,integer infeasible,0.0,,,
10,5,0.8,5,integer infeasible,0.015999999945051968,,,
10,5,0.8,5,integer infeasible,0.0,,,
10,5,0.8,5,integer infeasible,0.03100000007543713,,,
